Name,Trace length,Unique items,Unique strides,Prefix,Item entropy,Stride entropy,Item conditional entropy,Stride conditional entropy,Exponential function entropy,Linear Function entropy,Infinities,Stack distances
cluster10,154456,154454,3,2,17.22881,0.03773,0,0.03742,-0,0.03680,0
cluster10,154456,154453,5,3,17.22881,0.03773,0,0.03740,-0,0.03692,0
cluster10,154456,154452,7,4,17.22881,0.03773,0,0.03719,-0,0.03609,0
cluster10,154456,154451,10,5,17.22881,0.03773,0,0.03717,-0,0.03621,0
cluster10,154456,154446,41,10,17.22881,0.03773,0,0.03693,-0,0.03539,0
cluster10,154456,154356,5300,100,17.22881,0.03773,0,0.03338,-0,0.03456,0
cluster10,154456,153835,2,1,17.22881,0.03773,0.00803,0.03771,17.22879,0.03773,0
cluster10,154456,153956,80598,500,17.22881,0.03773,0,0.01375,-0,0.03429,0
cluster10,154456,153456,133927,1000,17.22881,0.03773,0,0.00283,-0,0.03711,0
cluster001,1000000,9210,17511,1,10.34570,12.24404,8.50181,7.50572,10.34559,12.24405,0
cluster001,1000000,613894,918700,2,10.34570,12.24404,1.07957,0.17938,8.52653,8.29025,0
cluster001,1000000,999990,999957,10,10.34570,12.24404,0,0.00003,-0,1.01189,0
cluster001,1000000,999900,999899,100,10.34570,12.24404,0,0,-0,-0,0
cluster001,1000000,997867,999504,3,10.34570,12.24404,0.00439,0.00151,6.66182,4.98294,0
ElleTest,7,6,1,1,2.80735,-0,0,0,2.32193,-0,0
ElleTest,7,5,1,2,2.80735,-0,0,0,-0,-0,0
ElleTest,7,5,4,2,2.80735,2.25163,0,0,-0,-0,0
ElleTest,9,7,6,2,2.64160,2.75000,0,0,-0,-0,0
ElleTest,9,7,6,1,2.64160,2.75000,0.25000,0.25000,2.52164,2.52164,0
cluster002,1000000,501078,448493,2,13.72329,9.73885,1.21530,2.49689,11.71038,5.84676,0
./src/traces/Twitter_trace/cluster001.atf,1000000,613894,918700,2,10.34570,12.24404,1.07957,0.17938,8.52653,8.29025,0
./src/traces/Twitter_trace/cluster002.atf,1000000,501078,448493,2,13.72329,9.73885,1.21530,2.49689,11.71038,5.84676,0
./src/traces/Twitter_trace/cluster003.atf,1000000,619714,825473,2,11.47317,14.41784,1.79081,0.82583,8.34173,9.18050,0
./src/traces/Twitter_trace/cluster004.atf,1000000,879715,916890,2,14.90089,15.74180,0.52722,0.45744,8.94858,9.82865,0
./src/traces/Twitter_trace/cluster005.atf,1000000,981102,651145,2,17.67958,12.62227,0.04298,1.79660,8.30703,7.41877,0
./src/traces/Twitter_trace/cluster006.atf,1000000,775462,844029,2,15.36150,14.62017,0.61952,0.75351,4.57878,8.54223,0
./src/traces/Twitter_trace/cluster007.atf,1000000,750417,515573,2,15.89249,9.57359,0.72802,2.31599,14.19236,7.15873,0
./src/traces/Twitter_trace/cluster008.atf,1000000,927467,928012,2,16.36051,15.75299,0.17543,0.29844,-0,6.67424,0
./src/traces/Twitter_trace/cluster009.atf,1000000,768910,881870,2,12.83860,14.41265,1.07415,0.47841,3.90689,11.44633,0
./src/traces/Twitter_trace/cluster010.atf,1000000,999998,24,2,19.92327,0.03914,0,0.03863,-0,0.03803,0
./src/traces/Twitter_trace/cluster011.atf,1000000,991868,752512,2,17.79241,13.73726,0.02370,1.21604,9.19209,5.99685,0
./src/traces/Twitter_trace/cluster012.atf,1000000,999998,269011,2,19.46877,6.94635,0,2.10898,-0,3.76701,0
./src/traces/Twitter_trace/cluster013.atf,1000000,998778,307993,2,19.01739,8.01722,0.00249,2.50118,-0,4.74368,0
./src/traces/Twitter_trace/cluster014.atf,800000,735878,705001,2,14.96840,15.26105,0.33071,0.66971,7.11095,8.45506,0
./src/traces/Twitter_trace/cluster015.atf,1000000,999744,2319,2,19.90995,0.25712,0.00047,0.11995,7.62205,0.11792,0
./src/traces/Twitter_trace/cluster016.atf,1000000,981517,944694,2,16.03050,16.63361,0.04954,0.27715,10.91972,9.45462,0
./src/traces/Twitter_trace/cluster017.atf,1000000,871577,991381,2,12.95072,15.99678,0.38819,0.03779,7.07164,8.05646,0
./src/traces/Twitter_trace/cluster018.atf,1000000,940483,966952,2,14.62716,16.66453,0.18135,0.16327,10.06463,9.73753,0
./src/traces/Twitter_trace/cluster019.atf,1000000,989040,204282,2,19.13209,6.75806,0.02279,2.65866,6.88578,3.85431,0
./src/traces/Twitter_trace/cluster020.atf,1000000,827431,785443,2,15.46668,13.83388,0.51746,1.05949,13.71685,9.69464,0
./src/traces/Twitter_trace/cluster021.atf,1000000,999995,24934,2,19.90459,0.37979,0.00001,0.18035,-0,0.18510,0
./src/traces/Twitter_trace/cluster022.atf,1000000,979361,630188,2,18.23234,11.53595,0.05081,1.81130,10.15968,5.88982,0
./src/traces/Twitter_trace/cluster023.atf,1000000,850903,826242,2,13.83503,14.37263,1.09399,1.01644,8.52232,9.56042,0
./src/traces/Twitter_trace/cluster024.atf,1000000,838638,972735,2,12.94582,15.94095,0.56036,0.11675,9.51634,8.51841,0
./src/traces/Twitter_trace/cluster025.atf,1000000,68562,123917,2,4.34792,5.74053,2.47253,2.48378,3.22795,4.43650,0
./src/traces/Twitter_trace/cluster026.atf,80000,79652,19094,2,15.80239,4.33618,0.01806,1.46077,5.79459,2.18634,0
./src/traces/Twitter_trace/cluster027.atf,1000000,997636,265159,2,19.26410,6.32993,0.00574,2.11605,7.01617,3.25381,0
./src/traces/Twitter_trace/cluster028.atf,1000000,943974,975703,2,14.28950,16.45352,0.17102,0.11418,10.78878,9.27149,0
